label,ComplementNB_pred,overall,summary,text_preview
Positive,Neutral,5.0,It is perfect for 1 keg 1/6 th size,It is perfect for 1 keg 1/6 th size. I have now had this Kegerator for over 1 week. I have not had any issues. It is perfect for 1 keg 1/6 th size. Beer is cold
Neutral,Negative,3.0,I love it but two of the burners won't always light,"I love it but two of the burners won't always light. I love it but two  of the burners won't always light, I have to use a match or outside lighter."
Negative,Positive,1.0,Half as good as OEM,"Half as good as OEM. These filters fall apart when wet.  Also, they only evaporate about half the water as the OEM filters so not worth the money in my opinion."
Positive,Negative,5.0,I couldn't ask for a better fryer,"I couldn't ask for a better fryer. This is our third Rival Cool Touch Deep Fryer.  Our first one we had for several years.  After awhile, it just became so dirt"
Negative,Positive,1.0,PORTOLA SAYS !,PORTOLA SAYS !. SEARCHED THE WEB FOR WEEKS AND THIS WAS THE BEST PRICE FOR A WELL KNOWN MGR'R......DELIVERY WAS FAST......THANK YOU A1........HAVE ONLY OPENED T
Negative,Neutral,1.0,Too weak to be of any use,Too weak to be of any use. The filter container in my refrigerator tends to become too tight over time to unscrew by hand. It also proved to be too tight for th
Positive,Neutral,5.0,Looks like they were made to go together,"Looks like they were made to go together. Not flimsy, protective covering and well packaged.  We used it as our back splash behind the stainless range then moun"
Neutral,Negative,3.0,Cheaply Made,Cheaply Made. Cheaply Made
Positive,Neutral,5.0,Best invention,Best invention. every granite owner needs these handy brackets.  I really don't know why we paid so much for granite countertops and was told to use silicone to
Positive,Negative,5.0,My oven had been dying for a while. First ...,My oven had been dying for a while. First .... My oven had been dying for a while. First we had to start using the broiler to get the oven to a certain temperat
Neutral,Positive,3.0,I had trouble with connecting the wires,"I had trouble with connecting the wires. The thermal fuse worked fine. The installation directions were very clear. However, the fuse was difficult to install b"
Positive,Neutral,4.0,Great for apartment-dwelling cloth diaper families,"Great for apartment-dwelling cloth diaper families. I bought this specifically to use for cloth diapers. It does a good job for them, but it has limitations you"
Positive,Neutral,5.0,Simple and perfect,"Simple and perfect. It's pretty straight forward.  It's a double-sided magnet with clear images on both sides.  Nothing to slide, nothing to break, no sticking "
Neutral,Negative,3.0,Why the change from PUR filters?,"Why the change from PUR filters?. Cheaper than old PUR replacements for Whirlpool filters, but I have had several failures with this filter. In order to get the"
Positive,Neutral,4.0,Came with 3 springs,"Came with 3 springs. Originally thought that the order came with just one spring. However, it comes with 3! FYI."
Positive,Negative,5.0,Best choice for an inside-located outdoor thermometer.,Best choice for an inside-located outdoor thermometer.. The best thermometer for outdoor temperature and humidity readings I've ever used.  (It also gives the s
Positive,Neutral,4.0,but with the Permatex 81160 High-Temp Gasket Maker they work fine.,"but with the Permatex 81160 High-Temp Gasket Maker they work fine.. I bought these for my Frigidaire range.  They are a liitle small for the Frigidaire, but wit"
Negative,Neutral,2.0,could be used,could be used. i really needed this product since i was replacing original filter. it has lime build-up inside. it was assumed it would be new
Positive,Neutral,4.0,Sufficient,Sufficient. It does the job but pops off from time to time.
Positive,Negative,5.0,I like these and they work really well!,I like these and they work really well!. we had bunch of family and friends over during Christmas and we have a few scotch drinkers in the family. I decided to 
Neutral,Negative,3.0,It worked but next time I will change the dishwasher brand!,"It worked but next time I will change the dishwasher brand!. The upper rack didn't fit perfectly, I mean is not running smoothly in and out of the dishwasher. O"
Positive,Neutral,5.0,I love this refrigerator. Only a few small flaws but I would recommend it.,I love this refrigerator. Only a few small flaws but I would recommend it.. I love this refrigerator. I have owned it for a year and a half (with no problems). 
Neutral,Positive,3.0,Three Stars,Three Stars. work fine
Positive,Negative,5.0,A 30 second job,"A 30 second job. The GE instruction sheet was incorrect, there's no adapter on top of the MSWF filter which needs removing. Just peel off the tin foil cover on "
Neutral,Negative,3.0,Don't last like the originals.,"Don't last like the originals.. When first installed my humidifier emptied it's tank in less than 24 hours, great.  By week 4 it was taking over 2 days and at w"
Positive,Negative,5.0,Whirlpool Gold Latitude GI7FVCXWB is a great buy!,Whirlpool Gold Latitude GI7FVCXWB is a great buy!. We've had our black Whirlpool Gold Latitude (model GI7FVCXWB) refrigerator for three months.  We purchased it
Positive,Negative,4.0,it's easy to replace and last's for about 3 to 4 ...,"it's easy to replace and last's for about 3 to 4 .... I guess the filter does its job, it's easy to replace and last usually for about 3 to 4 month. What else c"
Negative,Neutral,2.0,Big and uncomfortable to use. It does spin as ...,Big and uncomfortable to use. It does spin as .... Big and uncomfortable to use. It does spin as advertised. Does not dry my hair as fast as my previous dry bru
Negative,Positive,1.0,Does not fit KitchenAid model numbers as advertised,Does not fit KitchenAid model numbers as advertised. Does not fit KitchenAid model numbers as advertised. Price seems too good to be true... it is.
Positive,Negative,5.0,Highly recommended.,"Highly recommended.. This is the real stuff, right here.  Don't bother with the Baking Soda purchases in the supermarket.  Our old fridge died and there was stu"
Positive,Neutral,5.0,Excellent refrigerator!,Excellent refrigerator!. We purchased this refrigerator at a warehouse site about 3 years ago.  The only downside to this unit is that the compressor motor is a
Positive,Negative,4.0,GOOD DESIGN CHANGE!!!,"GOOD DESIGN CHANGE!!!. New design seems to be tighter in the slot allowing less lint into the exhaust..
Have had it installed/used for 5 - 6 weeks, all is good."
Neutral,Negative,3.0,Right part but questionable quality,"Right part but questionable quality. Similar to some other experiences here.  Delivered promptly in July 2013 and pretty easily installed.  One year later, same"
Positive,Neutral,5.0,cheap fix to get your ice maker working again.,cheap fix to get your ice maker working again.. A cheap replacement component that saved hundreds of dollars versus calling a repairman. If you need to test whe
Positive,Negative,4.0,"Works, some fitting issues","Works, some fitting issues. Works, but does not fit all the way down with some models."
Positive,Negative,5.0,"Love it, but don't buy it from HCcost","Love it, but don't buy it from HCcost. Ordered it, took 2.5 weeks to arrive.  Upon arrival, top of box was badly damaged. Upon opening it, range had a major den"
Negative,Positive,2.0,Good seal but won't hold door closed,Good seal but won't hold door closed. Quality of the gasket was great install was really easy and strait forward. Take your time with the cuts  and you shouldin
Neutral,Positive,3.0,Three Stars,Three Stars. expensive but works.
Neutral,Negative,3.0,Not for every use...,"Not for every use.... The product is well made, although it ""unwinds"" quite easily.  You have to treat it gently to keep from ruining it.  I ordered this item b"
Positive,Negative,5.0,Totally UNBELEIVEABLE!!!!!!!!,"Totally UNBELEIVEABLE!!!!!!!!. I bought this product after watching and researching it for 6, 7 months. The reviews were good and felt safe spending the amount "
Positive,Negative,4.0,Good alternative to GE OEM.,"Good alternative to GE OEM.. I am updating this feedback from poor to good. It turns out, this filter was not to blame for poor performance, my water inlet valv"
Positive,Negative,5.0,I agree with other reviewers. It's way overpriced for ...,I agree with other reviewers. It's way overpriced for .... I agree with other reviewers.  It's way overpriced for what it is but it looks OEM and has worked for
Positive,Negative,4.0,Filter provides comparable taste to previous filter model. No ...,Filter provides comparable taste to previous filter model. No .... Filter provides comparable taste to previous filter model. No harsh tastes experienced as see
Positive,Neutral,5.0,"Work well, but remove the old plastic filter under the spin basket first","Work well, but remove the old plastic filter under the spin basket first. Remove the agitator (easy - one bolt - wiggle/lift from bottom). These replace the usu"
Negative,Neutral,1.0,I have excellent air flow and used on medium heat for the ...,I have excellent air flow and used on medium heat for the .... I have excellent air flow and used on medium heat for the dryer setting. Thermal fuse cutout fail
Positive,Negative,5.0,A Laundry must have,"A Laundry must have. I was having problems with out laundry drain, but I don't anymore. This simply slips over then end of your washer hose, and catches all of "
Neutral,Positive,3.0,It looks like what we are using,It looks like what we are using. I will not install until the summer is over and we turn on the heat. It looks like what we are using.
Neutral,Negative,3.0,All different readings...,All different readings.... Just opened the boxes and installed the batteries.  Set them on the bar between the kitchen and living room.  I saw a few posts that 
Positive,Negative,5.0,Need to replace the filter in my Hunter Humidifier.,"Need to replace the filter in my Hunter Humidifier.. I had to purchase a new filter for my humidifier.  Purchased a replacement from a hardware store, but it di"
Positive,Negative,5.0,Five Stars,Five Stars. used as a trivit to place cast iron pan on in a smoker
Positive,Negative,5.0,Humidifier Blessing,"Humidifier Blessing. I just started using it, but it is going to be a lot less trouble adding chemicals to the water several times a day."
Positive,Neutral,5.0,Adorable,Adorable. love this and will look for others for other occasions - it sticks well and only complaint is that it tore a bit getting it unrolled out of package.
Positive,Negative,5.0,repairs kitchenaid,"repairs kitchenaid. Seems this part fits GE, Kitchenaid, Kenmore, Kirkland brand, whirlpool. If your door keeps popping open then most of the time its this part"
Neutral,Positive,3.0,Great ice! But loud!,"Great ice! But loud!. My wife and daughter love the little-nugget ice of the Scotsman, but it operates very noisy. I had a Kitchen-Aid prior to this Scotsman, a"
Negative,Neutral,2.0,Poor range hood,"Poor range hood. most 42"" bough are intended to upgrade older existing range hood. Broan has decided to make it difficult. Most older range hood are connected t"
Positive,Negative,4.0,Best ever fridge.,"Best ever fridge.. Best fridge I have ever used. Plenty of space because it's ALL FRIDGE! I prefer its tall, shallow, focused-purpose to the typical squat, deep"
Neutral,Negative,3.0,Three Stars,Three Stars. The tray was broken.
Positive,Negative,5.0,Replacement part,"Replacement part. The original one of our Frigidaire broke during the first year.  I hadn't asked for a replacment then  thinking, we likely broke it somehow.  "
Positive,Neutral,4.0,Could be thicker,"Could be thicker. I live in Hawaii and the sun/rain leaves rust on my washing machine quickly.  My relative made a cover out of thick water-proof army material,"
Neutral,Negative,3.0,didn't fit,"didn't fit. Which was no fault to the item! Seems to be a quality product, just didn't work for my freezer."
Positive,Negative,5.0,Beautiful and high quality,Beautiful and high quality. This stove is awesome.  Easy to install although wet had to buy a separate conversion kit.  It's awesome with a crazy fast response 
Neutral,Positive,3.0,Good Deal,Good Deal. Works well
Positive,Negative,5.0,Issue was lights blinking and ice maker running. Replaced ...,Issue was lights blinking and ice maker running. Replaced .... Issue was lights blinking and ice maker running.  Replaced CCA and problem was immediately fixed.
Negative,Neutral,2.0,i did a better job with a broom handle and a kitchen trash,i did a better job with a broom handle and a kitchen trash. naw.... i did a better job with a broom handle and a kitchen trash can
Positive,Negative,4.0,Older model LG washers - Beware!,"Older model LG washers - Beware!. We have a ~2007 LG washer.  Replaced the gasket with this one, but didn't recognize that it has a drain on the bottom, which o"
Neutral,Positive,3.0,Grossly overpriced but does the job,"Grossly overpriced but does the job. Grossly overPriced for what it is, but it works well and is easy to install."
Positive,Negative,5.0,Improved Quality,Improved Quality. It appears they finally figured out to flush the carbon fines from the filter before packaging.  It was nice to not have to throw away a bin o
Positive,Negative,4.0,Love this little machine!,"Love this little machine!. I have REALLY enjoyed making ice with this machine!
The water hopper holds about 3/4 gallon of water (to the fill line), the ice hopp"
Neutral,Negative,3.0,never again....,never again..... This was my first time ordering a filter on line for any machine & for the price this was ridiculous. Next time I'll just buy it at the store.
Positive,Neutral,5.0,The resistance across the terminals on the old coils tested ...,"The resistance across the terminals on the old coils tested .... The resistance across the terminals on the old coils tested OK, but I replaced them anyway with"
Positive,Negative,5.0,Better than the unit that came with the refrigerator,"Better than the unit that came with the refrigerator. Better than the unit that came with the refrigerator.  Easy to install, though depending on your refrigera"
Positive,Negative,4.0,Fusible Link,Fusible Link. The replacement thermostat and fusible link worked well and dryer is back up and running.  I did purchase a cheaper version of this product from a
Neutral,Positive,3.0,Worked but didn't arrive quickly.,Worked but didn't arrive quickly.. The part was what I needed for my dryer. I hired someone to install it because I didn't want to risk not doing it right or da
Positive,Negative,5.0,Wonderful you don't have to get this from the manufacturer,Wonderful you don't have to get this from the manufacturer. Wonderful you don't have to get this from the manufacturer.  I had a blocked drain with that stupid 
Positive,Negative,5.0,Works great.,Works great.. Work well.  Get the real samsung  one.  It has a higher NSF rating then any of the generic ones out there.  Also ensures your warranty won't be vo
Neutral,Negative,3.0,Three Stars,Three Stars. Wrong size returning didn't work
Neutral,Negative,3.0,It makes ice... sometimes.,"It makes ice... sometimes.. This is the third one of these I've purchased in four years, so I anticipate that it will last for about a year.  This one worked ou"
Neutral,Negative,3.0,Scratch and Dent,Scratch and Dent. My husband opened his birthday present to find it was badly damaged.  There were dents on both sides.  One dent is so bad it causes one of the
Neutral,Positive,3.0,Sweet let there be ice.,Sweet let there be ice.. Sweet lord let there ice. This is a saver on the hot days in the South. It makes ice in about 6 mins when its working and is quiet more
Positive,Negative,5.0,Pristine Water!,Pristine Water!. Whirlpool got it right. Our water from the tap is bad but this filter makes water from the fridge taste great.
Neutral,Positive,3.0,Cheap fix for your dryer,Cheap fix for your dryer. Well made and all components are where they are supposed to be. Quality element.  My only gripe is that the width of this element is a
Neutral,Positive,3.0,Three Stars,Three Stars. works
Positive,Negative,5.0,One month later and all is well,One month later and all is well. I wait a while to write these reviews to insure that the parts work at least for a while.  I installed this kit in my dryer whi
Positive,Neutral,4.0,Make sure you order the right one.,"Make sure you order the right one.. Whirlpool refrigerators have two different sized drawers. The vegetable drawer is bigger than the meat drawer, but they look"
Positive,Neutral,5.0,My 12 month old loves this activity table. We ...,My 12 month old loves this activity table. We .... My 12 month old loves this activity table.  We just keep water in ours for now but plan on adding the sand wh
Neutral,Negative,3.0,Smelly Samsung,"Smelly Samsung. We purchased all new Samsung products when building our new home, and other than the dishwasher, we are satisfied.  The refrigerator is a bit no"
Positive,Neutral,5.0,The real pump,The real pump. A year ago I bought the same pump from a web appliance part store. It broke down and was terribly noisy. The pump I got here was the correct one 
Positive,Neutral,5.0,Good duct for solar hot air system,"Good duct for solar hot air system. I use the ducting to build a solar hot air system. I spray painted the ducting flat black, encased it behind a clear, insula"
Neutral,Negative,3.0,LG Dishwasher,LG Dishwasher. We have been disappointed in our LG Dishwasher.  This is the second part that needed replacing since we purchased its 2 years ago.  Would not eve
Neutral,Negative,3.0,Failure suspected,Failure suspected. After a month our water started tasted very bad (well it tasted like the tap water). I removed the filter and purged it and put it back to th
Neutral,Positive,3.0,Three Stars,Three Stars. Not sure yet
Neutral,Positive,3.0,promisd delivery,promisd delivery. okay for the price as  extra washer ;good for water saving consumer who need a quick and small wash  but it is noisy. delivery of it was set b
Neutral,Negative,3.0,The two large plates did not fit my stove! ...,The two large plates did not fit my stove! .... The two large plates did not fit my stove!!!! The racks were slightly bigger than the plate so it made the pots 
Neutral,Negative,3.0,Power module not included,"Power module not included. Dont be fooled by the photo.  Unit did not come with power module.  Had to use the one from the old unit.  If power module is bad, yo"
Positive,Negative,5.0,Five Stars,Five Stars. bought it just in case and didn't need it-don't buy it until you get to that point
Neutral,Negative,3.0,Not so user friendly,Not so user friendly. This filter is tightly packed in a box unlike the previous ones I ordered.  When I pulled it out of the box I saw a layer of wire-like mes
Positive,Negative,5.0,Awesome ice maker,Awesome ice maker. This kettle machine puts out some ice. I use refrigerated distilled water and it drops cubes about every 5 minutes. Only had it for a couple 
Neutral,Positive,3.0,This burner is okay. It gets the job done ...,This burner is okay. It gets the job done .... This burner is okay.  It gets the job done and is cheaper than burners you can purchase at the hardware store.
Positive,Negative,5.0,works well. could not be how poorly the original ...,works well. could not be how poorly the original .... works well.  could not be how poorly the original was constructed.
Positive,Negative,4.0,Great value.,Great value.. I cannot comment on the longevity as I have only installed the filter a week ago. I can't tell any difference in taste between the waterdrop filte
Positive,Negative,5.0,They work! But the system doesn't last,"They work! But the system doesn't last. Too bad the system these are for turned out to be garbage. But hey, it was fun while it lasted."
Positive,Neutral,5.0,It stays consistent with staying cool.  Worked great.  Will more than likely get two more shortly,It stays consistent with staying cool.  Worked great.  Will more than likely get two more shortly. I liked the convenience of no ice bags needed. Nothing I did 
Positive,Negative,5.0,Single filter GE RPWFE () ::A:: ::W:: ::E:: ::S:: ::O:: ::M:: ::E::,Single filter GE RPWFE () ::A:: ::W:: ::E:: ::S:: ::O:: ::M:: ::E::. Single filter GE RPWFE () ::A:: ::W:: ::E:: ::S:: ::O:: ::M:: ::E::
Neutral,Positive,3.0,Does what it is supposed to do,Does what it is supposed to do. Fits my dryer very well.  This works as it is discribed.  The reason it is not getting 5 stars is because the metal will warp an
Positive,Negative,5.0,BEST little IM,"BEST little IM. I bought this IM in march 2016, making ice everyday. sams has the same IM.,newer model makes more ice.,filtered water works best,no chlorine"
Negative,Positive,1.0,This took 10-20 minutes to boil water on the highest ...,This took 10-20 minutes to boil water on the highest .... This took 10-20 minutes to boil water on the highest setting. I checked the air clearance and there we
Neutral,Positive,3.0,Nice enough for the price.,"Nice enough for the price.. Looks good. Has a connector on the bottom with a hose washer which doesn't do anyone any good in the USA, but you can attach an NPT "
Positive,Negative,5.0,amazon to the rescue.,"amazon to the rescue.. I had no choice on the specific filter for my refrigerator and tried obtaining it from the store where I bought the refrigerator.
they ad"
Positive,Negative,5.0,That was it??!!,"That was it??!!. Amazing how this little fuse shuts down the oven.  This was for a Kitchenmaid Double Oven KEBS208SSS00. Every thing, other than heating seemed "
Positive,Neutral,4.0,The bottom needs to be better made.,"The bottom needs to be better made.. Looks and fits like the original Kenmore.
Unfortunately, it does not appear to be any heavier built, than the first two bas"
Negative,Neutral,1.0,e-mail you never heared got the extender theres only one ...,e-mail you never heared got the extender theres only one .... e-mail you never heared got the extender theres only one theres to the side of stove you didn't me
Positive,Negative,5.0,I bought 2,I bought 2. Water.
Negative,Positive,2.0,did not go in as easy as the original one,did not go in as easy as the original one. have to be careful installing. did not go in as easy as the original.
Positive,Negative,4.0,Don't screw up the setup cause it is a pain ...,Don't screw up the setup cause it is a pain .... Don't screw up the setup cause it is a pain. It works but took a while to get it set up.
Positive,Negative,5.0,Fit my stove,Fit my stove. Fit my stove
Positive,Negative,5.0,Great Washer,"Great Washer. I purchased this washer because of a recommendation by a relative who runs a gym for women. She said it is the only one with metal working parts, "
Neutral,Negative,3.0,Three Stars,Three Stars. Didn't fit
Positive,Negative,5.0,You Spin Me Right Round...,"You Spin Me Right Round.... Love this... where have you been all my life? I wish I would have had this years ago. I would have saved myself time, money and havi"
Negative,Neutral,2.0,Had to super glue them on so as to not scratch paint ...,Had to super glue them on so as to not scratch paint .... Needs to be longer. Swedge covers for loops slide off. Had to super glue them on so as to not scratch 
Negative,Neutral,2.0,Two Stars,"Two Stars. Does not hold its shape, nor wick water effectively."
Neutral,Positive,3.0,Three Stars,Three Stars. What I expected
Negative,Positive,1.0,Do not buy,Do not buy. These filters do not work on my GE refrigerator. The water would back up and create a lot of pressure. The GE brand filters work fine.
Negative,Neutral,2.0,Dries out even when i follow manufacturers directions. Takes ...,Dries out even when i follow manufacturers directions. Takes .... Dries out even when i follow manufacturers directions. Takes very long to raise humidity in ro
Positive,Negative,4.0,"A litte pricey, but well made and burns well","A litte pricey, but well made and burns well. A little pricey, but very well made and slick looking.  I dropped this in the top of a wooden sideways, so that wh"
Positive,Neutral,5.0,Dew point display is helpful,"Dew point display is helpful. Dew point display was the feature that made me buy this product. It has worked well, has a long battery life, and is accurate. The"
Positive,Negative,5.0,"Genuine FSP, comes with switch as shown - too bad the bearings are non-serviceable.","Genuine FSP, comes with switch as shown - too bad the bearings are non-serviceable.. After 25 years my old motor froze its bearings. Will hopefully get another "
Neutral,Positive,3.0,Great price but you have to take apart to redo joints so not to leak water,Great price but you have to take apart to redo joints so not to leak water. Price is great but all joint leak water pipe threads have no joint compound
Positive,Negative,4.0,Good choice for range hood.,"Good choice for range hood.. Relatively quiet, especially at lower speeds.  Lights (not included) bright.  Bought wrong size first; company accepted return (I p"
Positive,Negative,4.0,cheap,cheap. Lasted a week
Positive,Negative,5.0,Well worth the money....,Well worth the money..... Pretty accurate humidity readings for money spent. I would recommend it for anyone using a humidifier or dehumidifier. No light in it.
Positive,Neutral,5.0,Hell of a product,Hell of a product. Dampened vibrations on our Washing Machine which is on 2nd floor by >90%. I'm glad I found this product. Kind of expensive though.
Neutral,Negative,3.0,Water dispenses slowly,Water dispenses slowly. Water doesn't seem to come out very quickly. I'm not sure why. This is the first time we have ordered filters online
Neutral,Negative,3.0,"Not a bad value, but could be way better","Not a bad value, but could be way better. I was using Husky brand compactor bags and those are super sturdy bags, but they slip. These bags, while they are a ni"
Positive,Neutral,4.0,Water taste is fine. Not sure why all of the negative reviews ...,Water taste is fine. Not sure why all of the negative reviews .... Water taste is fine. Not sure why all of the negative reviews but after flushing the initial 
Neutral,Positive,3.0,she like,"she like. Got this for my daughter, she like it"
Positive,Neutral,5.0,Five Stars,Five Stars. ok
Positive,Neutral,4.0,This is a good replacement.,"This is a good replacement.. The product is fine, installation is a little more difficult than described by their instructions. After I installed it I found out"
Positive,Neutral,5.0,Seems to work very well. I tested it by ...,Seems to work very well. I tested it by .... Seems to work very well.  I tested it by putting it in different rooms that had varying moisture content and it rea
Positive,Negative,4.0,Look different than original dampers but did fit and did the job.,Look different than original dampers but did fit and did the job.. These don't look like the originals but are supposedly a German made improved version.  Can't
Positive,Neutral,5.0,Worked as it should,Worked as it should. Stopped the white dust
Positive,Negative,5.0,Seem to be accurate,Seem to be accurate. They seem to be accurate.  All the one's I ordered have values close to each other and close to other hygrometers I own.  I don't have a ca
Positive,Negative,5.0,OEM replacement!,"OEM replacement!. Whirlpool Senseon Dryer....bought a generic one first, and it lasted for about 9 days.  Returned it and ordered this one.  This was an actual "
Neutral,Negative,3.0,"You need to know the trick or it won't ""seat"" properly.","You need to know the trick or it won't ""seat"" properly.. After 45 minutes of trying to get this product to click into place I started reading the 1 and 2 star r"
