label,MultinomialNB_pred,overall,summary,text_preview
Positive,Negative,4.0,"If the original had never molded, I wouldn't be writing this...","If the original had never molded, I wouldn't be writing this.... The bellows has some design improvements over the original the most notable being that of a dra"
Neutral,Negative,3.0,It wasn't as universal as it said. All the ...,It wasn't as universal as it said. All the .... It wasn't as universal as it said. All the pieces fell into the slot after just a couple days.
Negative,Positive,1.0,( I see on the new unit has better slightly better non college boy design ) The design ...,"( I see on the new unit has better slightly better non college boy design ) The design .... My dishwasher is 'reasonably' new but 'packed up'.
Their manufacturi"
Positive,Negative,4.0,"love love LOVE this range, only one thing...","love love LOVE this range, only one thing.... We remodeled our kitchen and went from a wall oven and cooktop to this freestanding range (said it was slide in, b"
Positive,Negative,5.0,Probably the best mini fridge I've owned,"Probably the best mini fridge I've owned. I bought the 4.4^2' ""all fridge"" model in black.

If you're buying a mini fridge you should go for the ""all fridge"" mo"
Neutral,Positive,3.0,I love it but two of the burners won't always light,"I love it but two of the burners won't always light. I love it but two  of the burners won't always light, I have to use a match or outside lighter."
Negative,Positive,1.0,Half as good as OEM,"Half as good as OEM. These filters fall apart when wet.  Also, they only evaporate about half the water as the OEM filters so not worth the money in my opinion."
Negative,Positive,1.0,Filtering Data?,Filtering Data?. This filter is advertised as replacement for Maytag UKF8001 yet no data lists cysts and turbidity or lead and mercury filtering. Made in China 
Negative,Positive,1.0,PORTOLA SAYS !,PORTOLA SAYS !. SEARCHED THE WEB FOR WEEKS AND THIS WAS THE BEST PRICE FOR A WELL KNOWN MGR'R......DELIVERY WAS FAST......THANK YOU A1........HAVE ONLY OPENED T
Negative,Positive,1.0,Too weak to be of any use,Too weak to be of any use. The filter container in my refrigerator tends to become too tight over time to unscrew by hand. It also proved to be too tight for th
Positive,Neutral,5.0,Looks like they were made to go together,"Looks like they were made to go together. Not flimsy, protective covering and well packaged.  We used it as our back splash behind the stainless range then moun"
Neutral,Negative,3.0,Cheaply Made,Cheaply Made. Cheaply Made
Negative,Positive,1.0,I purchased a 2-pack. I only received one. ...,I purchased a 2-pack. I only received one. .... I purchased a 2-pack.  I only received one. It's been almost a month.  I have no idea when the second will arriv
Negative,Positive,1.0,Should last longer for the price,Should last longer for the price. We have had it 1 1/2 years ran great and now it has died.
Neutral,Positive,3.0,Three Stars,"Three Stars. Not a very strong fan, everything around it gets wet"
Neutral,Positive,3.0,I had trouble with connecting the wires,"I had trouble with connecting the wires. The thermal fuse worked fine. The installation directions were very clear. However, the fuse was difficult to install b"
Positive,Neutral,4.0,Great for apartment-dwelling cloth diaper families,"Great for apartment-dwelling cloth diaper families. I bought this specifically to use for cloth diapers. It does a good job for them, but it has limitations you"
Negative,Positive,1.0,Not a good buy,Not a good buy. Ran it three times and it leaked all over the place
Negative,Positive,1.0,Not good for under sink installation of european washing machines - ...,Not good for under sink installation of european washing machines - .... Not good for under sink installation of european washing machines - these machines are 
Neutral,Negative,3.0,Why the change from PUR filters?,"Why the change from PUR filters?. Cheaper than old PUR replacements for Whirlpool filters, but I have had several failures with this filter. In order to get the"
Negative,Positive,1.0,Repair part,Repair part. The repair part didn't last not even a year
Negative,Positive,2.0,could be used,could be used. i really needed this product since i was replacing original filter. it has lime build-up inside. it was assumed it would be new
Neutral,Negative,3.0,"I prefer the""Best Air Vista Golden Solution Humidifier Solution.""  (one solution instead of two)","I prefer the""Best Air Vista Golden Solution Humidifier Solution.""  (one solution instead of two). I used this product along with the BT  Humidifier treatment (2"
Neutral,Positive,3.0,It worked but next time I will change the dishwasher brand!,"It worked but next time I will change the dishwasher brand!. The upper rack didn't fit perfectly, I mean is not running smoothly in and out of the dishwasher. O"
Positive,Negative,5.0,I love this refrigerator. Only a few small flaws but I would recommend it.,I love this refrigerator. Only a few small flaws but I would recommend it.. I love this refrigerator. I have owned it for a year and a half (with no problems). 
Neutral,Positive,3.0,Three Stars,Three Stars. work fine
Positive,Negative,5.0,A 30 second job,"A 30 second job. The GE instruction sheet was incorrect, there's no adapter on top of the MSWF filter which needs removing. Just peel off the tin foil cover on "
Neutral,Negative,3.0,Don't last like the originals.,"Don't last like the originals.. When first installed my humidifier emptied it's tank in less than 24 hours, great.  By week 4 it was taking over 2 days and at w"
Positive,Negative,5.0,Whirlpool Gold Latitude GI7FVCXWB is a great buy!,Whirlpool Gold Latitude GI7FVCXWB is a great buy!. We've had our black Whirlpool Gold Latitude (model GI7FVCXWB) refrigerator for three months.  We purchased it
Neutral,Positive,3.0,Three Stars,Three Stars. OK but my fridge went bad and gothe rid off
Negative,Positive,2.0,Here we go again,Here we go again. 2nd one I bought in 6 years.  Samsung has an issue with this model fridge's ice maker.
Negative,Positive,2.0,Big and uncomfortable to use. It does spin as ...,Big and uncomfortable to use. It does spin as .... Big and uncomfortable to use. It does spin as advertised. Does not dry my hair as fast as my previous dry bru
Negative,Positive,2.0,Two Stars,Two Stars. Did not fit my old Jenn Aire module.
Negative,Positive,1.0,Does not fit KitchenAid model numbers as advertised,Does not fit KitchenAid model numbers as advertised. Does not fit KitchenAid model numbers as advertised. Price seems too good to be true... it is.
Negative,Positive,1.0,It doesnt match on my fridge whirlpool my has doble ...,It doesnt match on my fridge whirlpool my has doble .... It doesnt match on my fridge whirlpool my has doble things one out and one in but here say its for that
Neutral,Negative,3.0,Right part but questionable quality,"Right part but questionable quality. Similar to some other experiences here.  Delivered promptly in July 2013 and pretty easily installed.  One year later, same"
Positive,Negative,5.0,"Love it, but don't buy it from HCcost","Love it, but don't buy it from HCcost. Ordered it, took 2.5 weeks to arrive.  Upon arrival, top of box was badly damaged. Upon opening it, range had a major den"
Negative,Positive,2.0,Good seal but won't hold door closed,Good seal but won't hold door closed. Quality of the gasket was great install was really easy and strait forward. Take your time with the cuts  and you shouldin
Neutral,Positive,3.0,Three Stars,Three Stars. expensive but works.
Neutral,Negative,3.0,Not for every use...,"Not for every use.... The product is well made, although it ""unwinds"" quite easily.  You have to treat it gently to keep from ruining it.  I ordered this item b"
Positive,Negative,4.0,Good alternative to GE OEM.,"Good alternative to GE OEM.. I am updating this feedback from poor to good. It turns out, this filter was not to blame for poor performance, my water inlet valv"
Neutral,Positive,3.0,"I get that plastic feels better, but ultimately they have so little metal holding ...","I get that plastic feels better, but ultimately they have so little metal holding .... Item is as described by the seller.  I think my real issue with this prod"
Positive,Negative,5.0,I agree with other reviewers. It's way overpriced for ...,I agree with other reviewers. It's way overpriced for .... I agree with other reviewers.  It's way overpriced for what it is but it looks OEM and has worked for
Positive,Neutral,5.0,"Work well, but remove the old plastic filter under the spin basket first","Work well, but remove the old plastic filter under the spin basket first. Remove the agitator (easy - one bolt - wiggle/lift from bottom). These replace the usu"
Negative,Positive,1.0,I have excellent air flow and used on medium heat for the ...,I have excellent air flow and used on medium heat for the .... I have excellent air flow and used on medium heat for the dryer setting. Thermal fuse cutout fail
Negative,Positive,2.0,Haven't done yet but seems they should fit better with out soaking,Haven't done yet but seems they should fit better with out soaking. Very small I contacted manf. and they said to soak in soap hot water to fit.  Haven't done y
Neutral,Positive,3.0,Ups and downs,Ups and downs. Now I've had this unit for about six months.  First I'll say it make great ice if you use great water.  I use distilled. The cubes come out amazi
Neutral,Positive,3.0,It looks like what we are using,It looks like what we are using. I will not install until the summer is over and we turn on the heat. It looks like what we are using.
Neutral,Negative,3.0,All different readings...,All different readings.... Just opened the boxes and installed the batteries.  Set them on the bar between the kitchen and living room.  I saw a few posts that 
Negative,Positive,1.0,dead after 1 year,dead after 1 year. I bought this as a replacement and installed it last year.  It is exactly one year and now it is dead while the OEM last for 7 years.
Neutral,Positive,3.0,They will do what they are intended to do.,They will do what they are intended to do.. I liked the gap covers I wished I gotten the black ones.  The clear isn't as clear as I had hoped.  I'm hoping I'll 
Positive,Negative,5.0,Humidifier Blessing,"Humidifier Blessing. I just started using it, but it is going to be a lot less trouble adding chemicals to the water several times a day."
Neutral,Positive,3.0,Great ice! But loud!,"Great ice! But loud!. My wife and daughter love the little-nugget ice of the Scotsman, but it operates very noisy. I had a Kitchen-Aid prior to this Scotsman, a"
Negative,Positive,2.0,Poor range hood,"Poor range hood. most 42"" bough are intended to upgrade older existing range hood. Broan has decided to make it difficult. Most older range hood are connected t"
Positive,Negative,4.0,Best ever fridge.,"Best ever fridge.. Best fridge I have ever used. Plenty of space because it's ALL FRIDGE! I prefer its tall, shallow, focused-purpose to the typical squat, deep"
Neutral,Positive,3.0,Three Stars,Three Stars. The tray was broken.
Positive,Negative,5.0,Replacement part,"Replacement part. The original one of our Frigidaire broke during the first year.  I hadn't asked for a replacment then  thinking, we likely broke it somehow.  "
Positive,Neutral,4.0,Could be thicker,"Could be thicker. I live in Hawaii and the sun/rain leaves rust on my washing machine quickly.  My relative made a cover out of thick water-proof army material,"
Neutral,Negative,3.0,didn't fit,"didn't fit. Which was no fault to the item! Seems to be a quality product, just didn't work for my freezer."
Neutral,Positive,3.0,It's way too much for one mixer,"It's way too much for one mixer. Does the job, but the amount is an industrial amount - I now have enough grease to redo my mixer every week for a year.

Wish I"
Neutral,Positive,3.0,Good Deal,Good Deal. Works well
Negative,Positive,2.0,i did a better job with a broom handle and a kitchen trash,i did a better job with a broom handle and a kitchen trash. naw.... i did a better job with a broom handle and a kitchen trash can
Positive,Negative,4.0,Older model LG washers - Beware!,"Older model LG washers - Beware!. We have a ~2007 LG washer.  Replaced the gasket with this one, but didn't recognize that it has a drain on the bottom, which o"
Negative,Positive,1.0,not satisfied,"not satisfied. doesn't hold much water,fan doesn't blow air very hard at all,cannot feel massage much at all & it is a little big & heavy on my neck."
Neutral,Positive,3.0,Grossly overpriced but does the job,"Grossly overpriced but does the job. Grossly overPriced for what it is, but it works well and is easy to install."
Positive,Negative,4.0,Love this little machine!,"Love this little machine!. I have REALLY enjoyed making ice with this machine!
The water hopper holds about 3/4 gallon of water (to the fill line), the ice hopp"
Neutral,Positive,3.0,never again....,never again..... This was my first time ordering a filter on line for any machine & for the price this was ridiculous. Next time I'll just buy it at the store.
Positive,Negative,4.0,Fusible Link,Fusible Link. The replacement thermostat and fusible link worked well and dryer is back up and running.  I did purchase a cheaper version of this product from a
Neutral,Positive,3.0,Worked but didn't arrive quickly.,Worked but didn't arrive quickly.. The part was what I needed for my dryer. I hired someone to install it because I didn't want to risk not doing it right or da
Negative,Positive,2.0,Runs loud,"Runs loud. My parents got this for a camping trip this summer to replace another that had broken after several years.  I wanted to like this cooler, but it wasn"
Negative,Positive,1.0,Warning about using liners in gas ovens,Warning about using liners in gas ovens. These liners block the air flow in a gas oven.  Do not block air flow slots in bottom of oven.  Do not cover entire rac
Neutral,Negative,3.0,Three Stars,Three Stars. Wrong size returning didn't work
Neutral,Positive,3.0,It makes ice... sometimes.,"It makes ice... sometimes.. This is the third one of these I've purchased in four years, so I anticipate that it will last for about a year.  This one worked ou"
Neutral,Positive,3.0,Sweet let there be ice.,Sweet let there be ice.. Sweet lord let there ice. This is a saver on the hot days in the South. It makes ice in about 6 mins when its working and is quiet more
Neutral,Positive,3.0,Cheap fix for your dryer,Cheap fix for your dryer. Well made and all components are where they are supposed to be. Quality element.  My only gripe is that the width of this element is a
Neutral,Positive,3.0,Three Stars,Three Stars. works
Negative,Positive,2.0,"So so product, disappointed .","So so product, disappointed .. Problem with the product is it should have been made with sturdier plastic.  When I attach it to upright vacuum the powerful suct"
Neutral,Positive,3.0,Eh.  Not worth it.,Eh.  Not worth it.. S L O W.  Just one or two low to mid-weight garments at a time.  Bath towels - let them hang over your shower curtain all night.
Negative,Positive,1.0,Not happy,"Not happy. Not very happy with it, I know the filters are somewhat hard to install, but this one just doesn't seem to seal right. No matter how many times I try"
Neutral,Negative,3.0,Smelly Samsung,"Smelly Samsung. We purchased all new Samsung products when building our new home, and other than the dishwasher, we are satisfied.  The refrigerator is a bit no"
Neutral,Positive,3.0,LG Dishwasher,LG Dishwasher. We have been disappointed in our LG Dishwasher.  This is the second part that needed replacing since we purchased its 2 years ago.  Would not eve
Neutral,Negative,3.0,Failure suspected,Failure suspected. After a month our water started tasted very bad (well it tasted like the tap water). I removed the filter and purged it and put it back to th
Neutral,Positive,3.0,Three Stars,Three Stars. Not sure yet
Neutral,Positive,3.0,promisd delivery,promisd delivery. okay for the price as  extra washer ;good for water saving consumer who need a quick and small wash  but it is noisy. delivery of it was set b
Neutral,Negative,3.0,The two large plates did not fit my stove! ...,The two large plates did not fit my stove! .... The two large plates did not fit my stove!!!! The racks were slightly bigger than the plate so it made the pots 
Neutral,Positive,3.0,Power module not included,"Power module not included. Dont be fooled by the photo.  Unit did not come with power module.  Had to use the one from the old unit.  If power module is bad, yo"
Negative,Positive,2.0,Did not last,"Did not last. Worked great to start with. No problems. However, I bought it in December and its dead again in now, in May."
Neutral,Negative,3.0,Not so user friendly,Not so user friendly. This filter is tightly packed in a box unlike the previous ones I ordered.  When I pulled it out of the box I saw a layer of wire-like mes
Neutral,Positive,3.0,This burner is okay. It gets the job done ...,This burner is okay. It gets the job done .... This burner is okay.  It gets the job done and is cheaper than burners you can purchase at the hardware store.
Negative,Positive,1.0,One Star,"One Star. Burnt out super fast and found a three pack at Dollar Tree that has lasted longer...yes, for a dollar."
Positive,Negative,5.0,They work! But the system doesn't last,"They work! But the system doesn't last. Too bad the system these are for turned out to be garbage. But hey, it was fun while it lasted."
Neutral,Positive,3.0,Does what it is supposed to do,Does what it is supposed to do. Fits my dryer very well.  This works as it is discribed.  The reason it is not getting 5 stars is because the metal will warp an
Negative,Positive,1.0,This took 10-20 minutes to boil water on the highest ...,This took 10-20 minutes to boil water on the highest .... This took 10-20 minutes to boil water on the highest setting. I checked the air clearance and there we
Neutral,Negative,3.0,Like my soda colder,Like my soda colder. Bought for sodas. Lucky if temp goes down to 55 degrees.  Like my soda colder. If you purchase similar product get compressor unit.
Neutral,Positive,3.0,Nice enough for the price.,"Nice enough for the price.. Looks good. Has a connector on the bottom with a hose washer which doesn't do anyone any good in the USA, but you can attach an NPT "
Positive,Negative,5.0,amazon to the rescue.,"amazon to the rescue.. I had no choice on the specific filter for my refrigerator and tried obtaining it from the store where I bought the refrigerator.
they ad"
Negative,Positive,1.0,Junk,Junk. These filters do not work well.  They dry out to quick and are very thin.  Seams like they are a imitation filter
Negative,Positive,2.0,Two Stars,Two Stars. The filter caused water dispenser to make noise when using the water. The seller refunded my money quickly.
Negative,Positive,1.0,e-mail you never heared got the extender theres only one ...,e-mail you never heared got the extender theres only one .... e-mail you never heared got the extender theres only one theres to the side of stove you didn't me
Negative,Positive,2.0,did not go in as easy as the original one,did not go in as easy as the original one. have to be careful installing. did not go in as easy as the original.
Negative,Positive,1.0,One Star,"One Star. The piece looks like it should fit, but the door will not latch."
Neutral,Negative,3.0,Three Stars,Three Stars. Didn't fit
Negative,Positive,2.0,Had to super glue them on so as to not scratch paint ...,Had to super glue them on so as to not scratch paint .... Needs to be longer. Swedge covers for loops slide off. Had to super glue them on so as to not scratch 
Negative,Positive,2.0,Two Stars,"Two Stars. Does not hold its shape, nor wick water effectively."
Neutral,Positive,3.0,Three Stars,Three Stars. What I expected
Negative,Positive,1.0,Do not buy,Do not buy. These filters do not work on my GE refrigerator. The water would back up and create a lot of pressure. The GE brand filters work fine.
Negative,Positive,2.0,Dries out even when i follow manufacturers directions. Takes ...,Dries out even when i follow manufacturers directions. Takes .... Dries out even when i follow manufacturers directions. Takes very long to raise humidity in ro
Negative,Positive,1.0,This product has stopped producing cold water. I need ...,This product has stopped producing cold water. I need .... This product has stopped producing cold water. I need a replacement as I was told I cant get parts fo
Positive,Negative,5.0,"Genuine FSP, comes with switch as shown - too bad the bearings are non-serviceable.","Genuine FSP, comes with switch as shown - too bad the bearings are non-serviceable.. After 25 years my old motor froze its bearings. Will hopefully get another "
Neutral,Positive,3.0,Great price but you have to take apart to redo joints so not to leak water,Great price but you have to take apart to redo joints so not to leak water. Price is great but all joint leak water pipe threads have no joint compound
Positive,Negative,4.0,cheap,cheap. Lasted a week
Negative,Positive,1.0,Avoid - Not Safe for Food,"Avoid - Not Safe for Food. I don't usually write reviews, but this mini fridge only goes down to about 42 F and it hovers around 45 F. This is above the safe fo"
Negative,Positive,2.0,in fact it may even be worse. Spring for the name brand,in fact it may even be worse. Spring for the name brand. We bought this to replace the name brand one in our fridge that came with our new home.  I am not sure 
Negative,Positive,1.0,LOUSY Fagor 36 gas cooktop,LOUSY Fagor 36 gas cooktop. We are going to bite the bullet and get rid of this very lousy cooktop after one year of frustration with performance.
Neutral,Negative,3.0,Water dispenses slowly,Water dispenses slowly. Water doesn't seem to come out very quickly. I'm not sure why. This is the first time we have ordered filters online
Neutral,Positive,3.0,"Not a bad value, but could be way better","Not a bad value, but could be way better. I was using Husky brand compactor bags and those are super sturdy bags, but they slip. These bags, while they are a ni"
Negative,Positive,2.0,Two Stars,Two Stars. Have seen some black particles in the water
Neutral,Positive,3.0,she like,"she like. Got this for my daughter, she like it"
Negative,Positive,1.0,Ripeoff,"Ripeoff. It didn't come with the fuse, and it is impossible to find this type of fuse in any retail store. The seller's description is ""3 Pin IEC320 C14 Inlet M"
Negative,Neutral,1.0,Room temperature incorrect.,Room temperature incorrect.. Doesn't rate correctly on the room temperature at all. Which makes me concerned about the humidity reading also.
Negative,Positive,1.0,Filters a little oversized and required filing to fit,Filters a little oversized and required filing to fit. Filter plastic frame a little too big to fit flush so cover could close requiring plastic to be filed to 
Negative,Positive,1.0,"When we first installed it, there was a very ...","When we first installed it, there was a very .... When we first installed it, there was a very strong methane smell from the dispensed water. Now, after dumping"
Positive,Negative,5.0,OEM replacement!,"OEM replacement!. Whirlpool Senseon Dryer....bought a generic one first, and it lasted for about 9 days.  Returned it and ordered this one.  This was an actual "
Negative,Positive,1.0,The water has had a foul taste since replacing the filter,The water has had a foul taste since replacing the filter. The water has had a foul taste since replacing the filter.  Wouldn't recommend.  I have never had tha
Neutral,Negative,3.0,"You need to know the trick or it won't ""seat"" properly.","You need to know the trick or it won't ""seat"" properly.. After 45 minutes of trying to get this product to click into place I started reading the 1 and 2 star r"
Negative,Positive,2.0,Two Stars,Two Stars. Placing on lower oven rack as recommended did affect our baking time. Although great on the grill.
Positive,Negative,4.0,I loved it while it worked,I loved it while it worked. I had my ice maker for about a month and a half.  Now it quit making ice.  The water does not go in and the fan doesn't turn on.  Wh
Neutral,Positive,3.0,Works but not the same as the oem timer.,Works but not the same as the oem timer.. The part was easy to replace but it does not work quite like the oem versions. This will get your freeze defrosting ag
Positive,Negative,5.0,Great little twin tub portable washing machine!,"Great little twin tub portable washing machine!. <div id=""video-block-R2QU1L52EF6H2O"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><in"
Positive,Negative,5.0,A simple repair for broken agitator dogs,"A simple repair for broken agitator dogs. NOTE: There are some reviews of this product that state that they received inferior, generic parts.  The parts I recei"
Positive,Negative,5.0,"this is a standard 18"" dishwasher.. i think ...","this is a standard 18"" dishwasher.. i think .... this is a standard 18"" dishwasher .. i think the vast majority of them are the same (maybe even same manufactur"
Negative,Positive,1.0,"Easy installation, but....","Easy installation, but..... Super easy installation, but this is the first time I have purchased an item from amazon where the seller would not accept a return."
Negative,Positive,1.0,Lead compliant? Unsure.,Lead compliant? Unsure.. I recently ordered this because the Q&A states hat it removes lead. There is NOTHING on the packaging or product that states this. Save
Positive,Negative,5.0,Some advice on cookware,Some advice on cookware. I have had this stove for a few months and love it.  I was so disappointed to have to go from gas to anything other than gas and induct
Negative,Positive,1.0,Magic Chef Sucks,"Magic Chef Sucks. this dryer gets no stars, it is garbage. bought mine in oct, of 2014
and is toast now.felt on barrel on barrel os worn after one year. magic c"
Negative,Positive,1.0,Just look at my photo.,"Just look at my photo.. Original from new fridge on the left.
Look at the A.
Thought I was buying an ""Genuine"" filter?
Looks like a knock off to me."
Negative,Positive,1.0,"Older version worked, this one does not...","Older version worked, this one does not.... I ordered this about 6-9 months ago and the filter worked great.  The latest iteration is made of softer plastic and"
Positive,Negative,5.0,This item did not work . I need to return,"This item did not work . I need to return. This item did not work please I need a refund.
Thank you"
Neutral,Positive,3.0,Cheap valve will work for two years tops,"Cheap valve will work for two years tops. Does what it supposed to do, but I seem to burn through these valves every two years. DO NOT run 5 gallons of water th"
Neutral,Positive,3.0,not really the right one,not really the right one. there is a small gap between the dryer top vent and  the top of filter screen handle but  it beats a blank and serves the purpose for 
Negative,Positive,2.0,Works great. Just not for long.,"Works great. Just not for long.. Product works, but be prepared to buy a new one every couple of years. Purchased 03/05/15 - DOA 11/16/16."
Positive,Negative,4.0,good seller,good seller. We received our first hood and it was damaged. I contacted the seller by email and with no questions we were sent another Main unit.  This is good 
Neutral,Positive,3.0,Three Stars,Three Stars. It is working great but wouldn't give it any higher than a three because it is still new.
Neutral,Negative,3.0,Works but it's EXPENSIVE!!,Works but it's EXPENSIVE!!. We bought this when we lived in an apartment. We couldn't buy a water softener because we had no where to put one. Installation was 
Neutral,Negative,3.0,"Works, but a few flaws","Works, but a few flaws. This pump does the job but it took some work to get it there.  Like others have mentioned, the electrical plug is different but I was se"
Neutral,Positive,3.0,Three Stars,Three Stars. ok
Neutral,Positive,3.0,didn't last as long as I thought it would,didn't last as long as I thought it would. Bought these as replacement filters work great but the original lasted longer than the replacement filters. The fikte
Neutral,Negative,3.0,Not good,"Not good. On time,product as a discribe but after a week stop working."
Neutral,Positive,3.0,Limited instructions.. cannot find where it goes on ...,Limited instructions.. cannot find where it goes on .... Limited instructions .. cannot find where it goes on my TF700.
Neutral,Positive,3.0,I am pleased with the price,"I am pleased with the price. I have used these filters for several years. I am pleased with the price, but I am not pleased at all with the shipping/delivery.  "
Neutral,Positive,3.0,plastic could be more sturdy.,"plastic could be more sturdy.. Slightly flimsy, plastic could be more sturdy."
Positive,Neutral,4.0,Very flimsy but they will serve my purpose for them ...,Very flimsy but they will serve my purpose for them .... Very flimsy but they will serve my purpose for them. I'm using them to cover burners on an outdoor kitc
Neutral,Positive,3.0,A little disappointed,A little disappointed. Thought it would stick to the stovetop better.theres a little wrinkle in it and everytime I wipe down stovetop it moves out of place. but
Positive,Negative,4.0,Good Washer Drain Pump,Good Washer Drain Pump. This washer drain pump does its job well at half the price of what the dealer wanted and I installed it myself and save lots of labor co
Neutral,Positive,3.0,Nice Product Just Didn Fit My Refrig,"Nice Product Just Didn Fit My Refrig. Didnt fit, so had to return."
Positive,Negative,5.0,Worth The Premium Price!,"Worth The Premium Price!. Far better than the generic equivalent from a major home center (H*me D*pot).  Its twice the price, yet the flow rate is SO much bette"
Neutral,Positive,3.0,Made Cheap Sold Expensive,Made Cheap Sold Expensive. Expensive but not available elsewhere online any cheaper. Next time I'll try looking at junk yards with old fridges.
Neutral,Positive,3.0,"My dogs didn't like this toy, not sure why?","My dogs didn't like this toy, not sure why?. I thought my dogs would love this toy but they had no interest in it. I think it may be the latex. The toy is reall"
Negative,Positive,1.0,Two Stars,Two Stars. It stated that it would fit my washer and this was incorrect information.
Positive,Negative,5.0,good and solid dryer,"good and solid dryer. I purchased this dryer from abc warehouse, not amizon because of cost for shipping, but its the same dryer anyway. so I am going to cover "
Positive,Neutral,4.0,RV Thermometer,RV Thermometer. When the sensor and the thermometer are side by side there is a one degree difference in the readings. When the thermometer is mounted over the 
Neutral,Positive,3.0,Time consuming,"Time consuming. Uniform sized and thickness; however, take too long (over three hours) to make a batch, especially if one has a moderate sized party to plan."
Neutral,Positive,3.0,These Filters Serve the Purpose,"These Filters Serve the Purpose. These filters fit the bill as lower-cost substitutes for the brand-name filters. They seem to work satisfactorily, although I t"
Positive,Negative,5.0,Looks like the real deal.,"Looks like the real deal.. My apologies to the seller! After my 3rd water filter and the replace light would not turn off, I contacted Lowe's. I found out I nee"
Negative,Positive,1.0,Four Stars,"Four Stars. All good, except the included screws were too small. no big deal.

Update: purchased in May of this year, as of last week, shorted out. Causing the "
