label,GradientBoosting_pred,overall,summary,text_preview
Positive,Negative,5.0,I agree with other reviewers. It's way overpriced for ...,I agree with other reviewers. It's way overpriced for .... I agree with other reviewers.  It's way overpriced for what it is but it looks OEM and has worked for
Negative,Positive,2.0,Also sounds terrible.,Also sounds terrible.. So far dishwasher isn't pumping in water. Having a technician coming in to check it out. Also sounds terrible.
Positive,Negative,4.0,Filter provides comparable taste to previous filter model. No ...,Filter provides comparable taste to previous filter model. No .... Filter provides comparable taste to previous filter model. No harsh tastes experienced as see
Negative,Positive,1.0,I have excellent air flow and used on medium heat for the ...,I have excellent air flow and used on medium heat for the .... I have excellent air flow and used on medium heat for the dryer setting. Thermal fuse cutout fail
Neutral,Positive,3.0,Ups and downs,Ups and downs. Now I've had this unit for about six months.  First I'll say it make great ice if you use great water.  I use distilled. The cubes come out amazi
Neutral,Positive,3.0,It looks like what we are using,It looks like what we are using. I will not install until the summer is over and we turn on the heat. It looks like what we are using.
Neutral,Negative,3.0,All different readings...,All different readings.... Just opened the boxes and installed the batteries.  Set them on the bar between the kitchen and living room.  I saw a few posts that 
Negative,Positive,1.0,After the 1st use it made my house smell like marijuana as well as my clothes,After the 1st use it made my house smell like marijuana as well as my clothes. After the 1st use it made my house smell like marijuana as well as my clothes. If
Negative,Positive,1.0,dead after 1 year,dead after 1 year. I bought this as a replacement and installed it last year.  It is exactly one year and now it is dead while the OEM last for 7 years.
Negative,Positive,1.0,Makes soft ice! Beeps loudly a lot. :(,Makes soft ice! Beeps loudly a lot. :(. I bought this because we don't have an ice maker in our refigerator (because we have a serious lime problem and the tubi
Neutral,Positive,3.0,They will do what they are intended to do.,They will do what they are intended to do.. I liked the gap covers I wished I gotten the black ones.  The clear isn't as clear as I had hoped.  I'm hoping I'll 
Positive,Negative,5.0,Humidifier Blessing,"Humidifier Blessing. I just started using it, but it is going to be a lot less trouble adding chemicals to the water several times a day."
Neutral,Positive,3.0,Great ice! But loud!,"Great ice! But loud!. My wife and daughter love the little-nugget ice of the Scotsman, but it operates very noisy. I had a Kitchen-Aid prior to this Scotsman, a"
Negative,Positive,2.0,Poor range hood,"Poor range hood. most 42"" bough are intended to upgrade older existing range hood. Broan has decided to make it difficult. Most older range hood are connected t"
Neutral,Positive,3.0,Three Stars,Three Stars. The tray was broken.
Positive,Negative,5.0,Replacement part,"Replacement part. The original one of our Frigidaire broke during the first year.  I hadn't asked for a replacment then  thinking, we likely broke it somehow.  "
Positive,Negative,4.0,Could be thicker,"Could be thicker. I live in Hawaii and the sun/rain leaves rust on my washing machine quickly.  My relative made a cover out of thick water-proof army material,"
Neutral,Negative,3.0,didn't fit,"didn't fit. Which was no fault to the item! Seems to be a quality product, just didn't work for my freezer."
Neutral,Positive,3.0,It's way too much for one mixer,"It's way too much for one mixer. Does the job, but the amount is an industrial amount - I now have enough grease to redo my mixer every week for a year.

Wish I"
Neutral,Positive,3.0,Good Deal,Good Deal. Works well
Negative,Positive,2.0,i did a better job with a broom handle and a kitchen trash,i did a better job with a broom handle and a kitchen trash. naw.... i did a better job with a broom handle and a kitchen trash can
Positive,Negative,4.0,Older model LG washers - Beware!,"Older model LG washers - Beware!. We have a ~2007 LG washer.  Replaced the gasket with this one, but didn't recognize that it has a drain on the bottom, which o"
Negative,Positive,1.0,not satisfied,"not satisfied. doesn't hold much water,fan doesn't blow air very hard at all,cannot feel massage much at all & it is a little big & heavy on my neck."
Neutral,Positive,3.0,Grossly overpriced but does the job,"Grossly overpriced but does the job. Grossly overPriced for what it is, but it works well and is easy to install."
Neutral,Positive,3.0,never again....,never again..... This was my first time ordering a filter on line for any machine & for the price this was ridiculous. Next time I'll just buy it at the store.
Positive,Negative,5.0,It makes Ice,It makes Ice. How do you review and ice maker beyond making ice cubes? The package arrived in a reasonable time and it is a genuine Whirlpool ice maker.  Everyt
Positive,Negative,4.0,Fusible Link,Fusible Link. The replacement thermostat and fusible link worked well and dryer is back up and running.  I did purchase a cheaper version of this product from a
Neutral,Positive,3.0,Worked but didn't arrive quickly.,Worked but didn't arrive quickly.. The part was what I needed for my dryer. I hired someone to install it because I didn't want to risk not doing it right or da
Negative,Positive,2.0,Runs loud,"Runs loud. My parents got this for a camping trip this summer to replace another that had broken after several years.  I wanted to like this cooler, but it wasn"
Negative,Positive,1.0,Warning about using liners in gas ovens,Warning about using liners in gas ovens. These liners block the air flow in a gas oven.  Do not block air flow slots in bottom of oven.  Do not cover entire rac
Neutral,Positive,3.0,It makes ice... sometimes.,"It makes ice... sometimes.. This is the third one of these I've purchased in four years, so I anticipate that it will last for about a year.  This one worked ou"
Neutral,Negative,3.0,Scratch and Dent,Scratch and Dent. My husband opened his birthday present to find it was badly damaged.  There were dents on both sides.  One dent is so bad it causes one of the
Neutral,Positive,3.0,Sweet let there be ice.,Sweet let there be ice.. Sweet lord let there ice. This is a saver on the hot days in the South. It makes ice in about 6 mins when its working and is quiet more
Neutral,Positive,3.0,Cheap fix for your dryer,Cheap fix for your dryer. Well made and all components are where they are supposed to be. Quality element.  My only gripe is that the width of this element is a
Neutral,Positive,3.0,Three Stars,Three Stars. works
Neutral,Negative,3.0,Eh.  Not worth it.,Eh.  Not worth it.. S L O W.  Just one or two low to mid-weight garments at a time.  Bath towels - let them hang over your shower curtain all night.
Negative,Positive,1.0,Not happy,"Not happy. Not very happy with it, I know the filters are somewhat hard to install, but this one just doesn't seem to seal right. No matter how many times I try"
Neutral,Positive,3.0,Smelly Samsung,"Smelly Samsung. We purchased all new Samsung products when building our new home, and other than the dishwasher, we are satisfied.  The refrigerator is a bit no"
Neutral,Positive,3.0,LG Dishwasher,LG Dishwasher. We have been disappointed in our LG Dishwasher.  This is the second part that needed replacing since we purchased its 2 years ago.  Would not eve
Negative,Positive,2.0,Too many problems!,Too many problems!. Beware of the electronics on this product as well as lack of service. Samsung was contacted when we got the SE code but was no help. They co
Neutral,Negative,3.0,Failure suspected,Failure suspected. After a month our water started tasted very bad (well it tasted like the tap water). I removed the filter and purged it and put it back to th
Neutral,Positive,3.0,Three Stars,Three Stars. Not sure yet
Negative,Positive,2.0,Did Not Match Up to My Maytag MEDE300VF0,Did Not Match Up to My Maytag MEDE300VF0. Did not match up for my Maytag MEDE300VF0 model.  Thermal Cut Off package with listed thermostat and fuse had the corr
Neutral,Positive,3.0,promisd delivery,promisd delivery. okay for the price as  extra washer ;good for water saving consumer who need a quick and small wash  but it is noisy. delivery of it was set b
Neutral,Negative,3.0,The two large plates did not fit my stove! ...,The two large plates did not fit my stove! .... The two large plates did not fit my stove!!!! The racks were slightly bigger than the plate so it made the pots 
Neutral,Negative,3.0,Power module not included,"Power module not included. Dont be fooled by the photo.  Unit did not come with power module.  Had to use the one from the old unit.  If power module is bad, yo"
Negative,Positive,2.0,Did not last,"Did not last. Worked great to start with. No problems. However, I bought it in December and its dead again in now, in May."
Neutral,Negative,3.0,Not so user friendly,Not so user friendly. This filter is tightly packed in a box unlike the previous ones I ordered.  When I pulled it out of the box I saw a layer of wire-like mes
Neutral,Positive,3.0,This burner is okay. It gets the job done ...,This burner is okay. It gets the job done .... This burner is okay.  It gets the job done and is cheaper than burners you can purchase at the hardware store.
Positive,Negative,5.0,They work! But the system doesn't last,"They work! But the system doesn't last. Too bad the system these are for turned out to be garbage. But hey, it was fun while it lasted."
Neutral,Positive,3.0,Does what it is supposed to do,Does what it is supposed to do. Fits my dryer very well.  This works as it is discribed.  The reason it is not getting 5 stars is because the metal will warp an
Negative,Positive,1.0,This took 10-20 minutes to boil water on the highest ...,This took 10-20 minutes to boil water on the highest .... This took 10-20 minutes to boil water on the highest setting. I checked the air clearance and there we
Neutral,Negative,3.0,Like my soda colder,Like my soda colder. Bought for sodas. Lucky if temp goes down to 55 degrees.  Like my soda colder. If you purchase similar product get compressor unit.
Neutral,Positive,3.0,Nice enough for the price.,"Nice enough for the price.. Looks good. Has a connector on the bottom with a hose washer which doesn't do anyone any good in the USA, but you can attach an NPT "
Positive,Negative,5.0,amazon to the rescue.,"amazon to the rescue.. I had no choice on the specific filter for my refrigerator and tried obtaining it from the store where I bought the refrigerator.
they ad"
Negative,Positive,1.0,Does not work,Does not work. I was excited to find this...I hate going to the laundry mat and I thought this would be the perfect solution.  The washer arrived as scheduled a
Negative,Positive,1.0,Junk,Junk. These filters do not work well.  They dry out to quick and are very thin.  Seams like they are a imitation filter
Negative,Positive,2.0,Two Stars,Two Stars. The filter caused water dispenser to make noise when using the water. The seller refunded my money quickly.
Negative,Positive,2.0,"It's much smaller than the orginal bulb, The first ...","It's much smaller than the orginal bulb, The first .... It's much smaller than the orginal bulb,  The first one I tried to put in blew as I installed it.  I hav"
Positive,Negative,5.0,I bought 2,I bought 2. Water.
Negative,Positive,2.0,did not go in as easy as the original one,did not go in as easy as the original one. have to be careful installing. did not go in as easy as the original.
Positive,Negative,5.0,Fit my stove,Fit my stove. Fit my stove
Neutral,Positive,3.0,Three Stars,Three Stars. Didn't fit
Negative,Positive,2.0,Had to super glue them on so as to not scratch paint ...,Had to super glue them on so as to not scratch paint .... Needs to be longer. Swedge covers for loops slide off. Had to super glue them on so as to not scratch 
Negative,Positive,2.0,Two Stars,"Two Stars. Does not hold its shape, nor wick water effectively."
Neutral,Positive,3.0,Three Stars,Three Stars. What I expected
Negative,Positive,1.0,Do not buy,Do not buy. These filters do not work on my GE refrigerator. The water would back up and create a lot of pressure. The GE brand filters work fine.
Negative,Positive,2.0,Dries out even when i follow manufacturers directions. Takes ...,Dries out even when i follow manufacturers directions. Takes .... Dries out even when i follow manufacturers directions. Takes very long to raise humidity in ro
Negative,Positive,1.0,This product has stopped producing cold water. I need ...,This product has stopped producing cold water. I need .... This product has stopped producing cold water. I need a replacement as I was told I cant get parts fo
Neutral,Positive,3.0,Great price but you have to take apart to redo joints so not to leak water,Great price but you have to take apart to redo joints so not to leak water. Price is great but all joint leak water pipe threads have no joint compound
Positive,Negative,4.0,Good choice for range hood.,"Good choice for range hood.. Relatively quiet, especially at lower speeds.  Lights (not included) bright.  Bought wrong size first; company accepted return (I p"
Positive,Negative,4.0,cheap,cheap. Lasted a week
Negative,Positive,1.0,LOUSY Fagor 36 gas cooktop,LOUSY Fagor 36 gas cooktop. We are going to bite the bullet and get rid of this very lousy cooktop after one year of frustration with performance.
Positive,Negative,4.0,Looks amazing,Looks amazing. It looks amazing in our new kitchen. Haven't had the opportunity to put it to use but I can tell from turning it on that it has amazing suction p
Neutral,Negative,3.0,Water dispenses slowly,Water dispenses slowly. Water doesn't seem to come out very quickly. I'm not sure why. This is the first time we have ordered filters online
Neutral,Positive,3.0,"Not a bad value, but could be way better","Not a bad value, but could be way better. I was using Husky brand compactor bags and those are super sturdy bags, but they slip. These bags, while they are a ni"
Negative,Positive,2.0,Two Stars,Two Stars. Have seen some black particles in the water
Negative,Positive,1.0,"Washer broke down once, dryer stopped four separate times. Buyer beware!","Washer broke down once, dryer stopped four separate times. Buyer beware!. I pride myself in researching items before purchase and did that before this washer/dr"
Positive,Negative,4.0,Water taste is fine. Not sure why all of the negative reviews ...,Water taste is fine. Not sure why all of the negative reviews .... Water taste is fine. Not sure why all of the negative reviews but after flushing the initial 
Neutral,Positive,3.0,she like,"she like. Got this for my daughter, she like it"
Positive,Negative,5.0,Worked as it should,Worked as it should. Stopped the white dust
Negative,Positive,1.0,Filters a little oversized and required filing to fit,Filters a little oversized and required filing to fit. Filter plastic frame a little too big to fit flush so cover could close requiring plastic to be filed to 
Positive,Negative,5.0,Seem to be accurate,Seem to be accurate. They seem to be accurate.  All the one's I ordered have values close to each other and close to other hygrometers I own.  I don't have a ca
Negative,Positive,1.0,"When we first installed it, there was a very ...","When we first installed it, there was a very .... When we first installed it, there was a very strong methane smell from the dispensed water. Now, after dumping"
Positive,Negative,5.0,OEM replacement!,"OEM replacement!. Whirlpool Senseon Dryer....bought a generic one first, and it lasted for about 9 days.  Returned it and ordered this one.  This was an actual "
Neutral,Negative,3.0,"You need to know the trick or it won't ""seat"" properly.","You need to know the trick or it won't ""seat"" properly.. After 45 minutes of trying to get this product to click into place I started reading the 1 and 2 star r"
Negative,Positive,2.0,Two Stars,Two Stars. Placing on lower oven rack as recommended did affect our baking time. Although great on the grill.
Positive,Negative,4.0,I loved it while it worked,I loved it while it worked. I had my ice maker for about a month and a half.  Now it quit making ice.  The water does not go in and the fan doesn't turn on.  Wh
Neutral,Positive,3.0,Works but not the same as the oem timer.,Works but not the same as the oem timer.. The part was easy to replace but it does not work quite like the oem versions. This will get your freeze defrosting ag
Negative,Positive,1.0,... tried this one considering it got a lot of great reviews. Sure enough,... tried this one considering it got a lot of great reviews. Sure enough. I figured the other 1 star reviews were few and far between so I tried this one consi
Negative,Positive,2.0,6 months Top,6 months Top. my kid loved it. we even added coca-cola stickers to look cooler.  makes cans cold after a few hours.  everything was going great until WHAM! one 
Positive,Negative,5.0,Does what it's supposed to do,"Does what it's supposed to do. I don't know what all to write here, but this evenly distributes water in my whole house humidifier.  I replace it every 2-3 year"
Positive,Negative,5.0,"this is a standard 18"" dishwasher.. i think ...","this is a standard 18"" dishwasher.. i think .... this is a standard 18"" dishwasher .. i think the vast majority of them are the same (maybe even same manufactur"
Negative,Positive,1.0,"Easy installation, but....","Easy installation, but..... Super easy installation, but this is the first time I have purchased an item from amazon where the seller would not accept a return."
Negative,Positive,1.0,"Installed this filter and at first it was fine, but after some weeks our water started taking ...","Installed this filter and at first it was fine, but after some weeks our water started taking .... Installed this filter and at first it was fine, but after som"
Negative,Positive,1.0,... the filter as it left the water with a terrible taste. We've had the refrigerator for five years ...,... the filter as it left the water with a terrible taste. We've had the refrigerator for five years .... Something was wrong with the filter as it left the wat
Negative,Positive,1.0,Magic Chef Sucks,"Magic Chef Sucks. this dryer gets no stars, it is garbage. bought mine in oct, of 2014
and is toast now.felt on barrel on barrel os worn after one year. magic c"
Negative,Positive,1.0,Just look at my photo.,"Just look at my photo.. Original from new fridge on the left.
Look at the A.
Thought I was buying an ""Genuine"" filter?
Looks like a knock off to me."
Negative,Positive,1.0,"Older version worked, this one does not...","Older version worked, this one does not.... I ordered this about 6-9 months ago and the filter worked great.  The latest iteration is made of softer plastic and"
Positive,Negative,5.0,This item did not work . I need to return,"This item did not work . I need to return. This item did not work please I need a refund.
Thank you"
Negative,Positive,2.0,Was good while it lasted.,"Was good while it lasted.. Worked great, but only lasted 3 years.  The outdoor unite died after 2 years."
Neutral,Positive,3.0,Cheap valve will work for two years tops,"Cheap valve will work for two years tops. Does what it supposed to do, but I seem to burn through these valves every two years. DO NOT run 5 gallons of water th"
Neutral,Positive,3.0,not really the right one,not really the right one. there is a small gap between the dryer top vent and  the top of filter screen handle but  it beats a blank and serves the purpose for 
Negative,Positive,2.0,Works great. Just not for long.,"Works great. Just not for long.. Product works, but be prepared to buy a new one every couple of years. Purchased 03/05/15 - DOA 11/16/16."
Neutral,Positive,3.0,Three Stars,Three Stars. It is working great but wouldn't give it any higher than a three because it is still new.
Neutral,Negative,3.0,Works but it's EXPENSIVE!!,Works but it's EXPENSIVE!!. We bought this when we lived in an apartment. We couldn't buy a water softener because we had no where to put one. Installation was 
Neutral,Positive,3.0,"Works, but a few flaws","Works, but a few flaws. This pump does the job but it took some work to get it there.  Like others have mentioned, the electrical plug is different but I was se"
Neutral,Positive,3.0,Three Stars,Three Stars. ok
Neutral,Positive,3.0,didn't last as long as I thought it would,didn't last as long as I thought it would. Bought these as replacement filters work great but the original lasted longer than the replacement filters. The fikte
Neutral,Positive,3.0,Not good,"Not good. On time,product as a discribe but after a week stop working."
Neutral,Positive,3.0,Limited instructions.. cannot find where it goes on ...,Limited instructions.. cannot find where it goes on .... Limited instructions .. cannot find where it goes on my TF700.
Neutral,Positive,3.0,I am pleased with the price,"I am pleased with the price. I have used these filters for several years. I am pleased with the price, but I am not pleased at all with the shipping/delivery.  "
Neutral,Negative,3.0,plastic could be more sturdy.,"plastic could be more sturdy.. Slightly flimsy, plastic could be more sturdy."
Neutral,Negative,3.0,A little disappointed,A little disappointed. Thought it would stick to the stovetop better.theres a little wrinkle in it and everytime I wipe down stovetop it moves out of place. but
Negative,Positive,1.0,NO good,NO good. I wouldn't recommend it's a bit bigger than the original. Wast of money now I have to go get the right one because I didn't get a refund.
Neutral,Negative,3.0,Nice Product Just Didn Fit My Refrig,"Nice Product Just Didn Fit My Refrig. Didnt fit, so had to return."
Positive,Negative,4.0,Broan Range Hood,Broan Range Hood. This product is sleek and quiet.  The only thing I didn't like is the old halogen bulbs use to go high/med/low and new LED bulb while brighter
Neutral,Negative,3.0,Made Cheap Sold Expensive,Made Cheap Sold Expensive. Expensive but not available elsewhere online any cheaper. Next time I'll try looking at junk yards with old fridges.
Negative,Positive,1.0,rusted cooktop underneath these,rusted cooktop underneath these. Never would have bought these had I known then that what happened would happen! Installed these in September and now in Decembe
Neutral,Positive,3.0,"My dogs didn't like this toy, not sure why?","My dogs didn't like this toy, not sure why?. I thought my dogs would love this toy but they had no interest in it. I think it may be the latex. The toy is reall"
Negative,Positive,1.0,Two Stars,Two Stars. It stated that it would fit my washer and this was incorrect information.
Positive,Negative,4.0,RV Thermometer,RV Thermometer. When the sensor and the thermometer are side by side there is a one degree difference in the readings. When the thermometer is mounted over the 
Negative,Positive,1.0,Caveat Emptor,"Caveat Emptor. The Broan PN 634 Roof cap advertisement says it is supposed to be for 8"" duct, but I disagree. I measured the vent throat and it was only 3.5""x10"
Neutral,Positive,3.0,Time consuming,"Time consuming. Uniform sized and thickness; however, take too long (over three hours) to make a batch, especially if one has a moderate sized party to plan."
Neutral,Positive,3.0,These Filters Serve the Purpose,"These Filters Serve the Purpose. These filters fit the bill as lower-cost substitutes for the brand-name filters. They seem to work satisfactorily, although I t"
Positive,Negative,5.0,Looks like the real deal.,"Looks like the real deal.. My apologies to the seller! After my 3rd water filter and the replace light would not turn off, I contacted Lowe's. I found out I nee"
Negative,Positive,1.0,Four Stars,"Four Stars. All good, except the included screws were too small. no big deal.

Update: purchased in May of this year, as of last week, shorted out. Causing the "
